bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_mw,op_kow,op_pka,op_conc,ph,k
Swine bone,Bone,Pristine,Pristine,900,2,5,0.115697869,1024.34,3.31,42.16,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0225
Swine bone,Bone,Acid,Pristine,900,2,5,0.099868016,1201.63,2.55,57.7,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.023
Wheat straw,Plant,Pristine,Pristine,700,2,5,0.157273464,15.52,2.64,85.28,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0001
Wheat straw,Plant,Acid,Pristine,700,2,5,0.096250822,143.19,2.55,63.33,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0025
Municipal sludge,Sludge,Pristine,Pristine,700,2,5,0.464128843,244.3,3.42,90.63,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.005
Municipal sludge,Sludge,Acid,Pristine,700,2,5,0.172470395,387.02,3.39,49.64,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0084
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.0217
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,5,0.0138
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,7,0.006
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,11,0.0026
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01683
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01489
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01411
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01072
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.00428
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.00376
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.03612
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.02053
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.02098
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.01091
Straw,Plant,Pristine,Pristine,500,2,5,0.366867141,0.01209,0.89,5,5,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.0083
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,3,0.01061
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,7,0.0102
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,9,0.0088
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,11,0.006
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.0095
