bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_id,op_mw,op_kow,op_pka,op_conc,ph,k
Swine bone,Bone,Pristine,Pristine,900,2,5,0.115697869,1024.34,3.31,42.16,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,1.647817482
Swine bone,Bone,Acid,Pristine,900,2,5,0.099868016,1201.63,2.55,57.7,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,1.638272164
Wheat straw,Plant,Pristine,Pristine,700,2,5,0.157273464,15.52,2.64,85.28,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,4
Wheat straw,Plant,Acid,Pristine,700,2,5,0.096250822,143.19,2.55,63.33,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,2.602059991
Municipal sludge,Sludge,Pristine,Pristine,700,2,5,0.464128843,244.3,3.42,90.63,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,2.301029996
Municipal sludge,Sludge,Acid,Pristine,700,2,5,0.172470395,387.02,3.39,49.64,0.1,192.11,2.08,92,-3.5,1,methylparaben,152.15,2,8.2,20,7,2.075720714
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.663540266
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,5,1.860120914
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,7,2.22184875
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,11,2.585026652
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.773915884
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.827105302
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.850472986
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.969805215
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,2.368556231
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,2.424812155
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.442252258
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.687611051
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,phenol,94.11,1.46,9.99,20,3,1.678194516
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,1.962175249
Reed,Plant,Pristine,Pristine,500,2,5,0.314751512,1.1851,1.073183646,8.2,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,2.283162277
Straw,Plant,Pristine,Pristine,500,2,5,0.366867141,0.01209,0.89,5,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,2.080921908
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,3,1.974284616
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,7,1.991399828
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,9,2.055517328
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,11,2.22184875
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,2.022276395
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,2.102372909
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,tetracycline,444.435,-1.19,3.3,10,5,2.045757491
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,7,0.552841969
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,3,0.903089987
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,5,1.15490196
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,9,1.301029996
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,11,1.823908741
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,7,0.958607315
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,7,0.978810701
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,7,0.886056648
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,20,7,1
paper mill sludge,Sludge,Pristine,Pristine,400,1.5,5,1.215,2.67,2.54690184,7.724110429,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,3
paper mill sludge,Sludge,Pristine,Pristine,600,1.5,5,1.104166667,81.34,2.275613497,7.406809816,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.721246399
paper mill sludge,Sludge,Pristine,Pristine,800,1.5,5,0.592270284,141.13,2.06,7.02,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.193820026
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.070581074
paper mill sludge,Sludge,Pristine,Pristine,1500,1.5,5,0.377858517,79.31,1.07,5.96,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.167491087
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,3,1.366531544
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,5,1.187086643
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7.4,1.161150909
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,9,1.200659451
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,9.7,1.065501549
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,10.7,1.060480747
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,11.2,1.13076828
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.1,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,2.180456064
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.2,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.89279003
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.3,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,1.653647026
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.5,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,0.979638717
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.96055,BPA,228.29,3.32,9.6,2.008952,7,0.971835581
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.096055,BPA,228.29,3.32,9.6,2.008952,7,2.096910013
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,2.008952,7,2.065501549
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.57633,BPA,228.29,3.32,9.6,2.008952,7,1.742321425
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.864495,BPA,228.29,3.32,9.6,2.008952,7,1.500312917
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,1.34477,BPA,228.29,3.32,9.6,2.008952,7,1.671620397
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,1.72899,BPA,228.29,3.32,9.6,2.008952,7,1.73754891
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.096055,"2,4 DCP",163,3.17,7.89,50,6.26,0.536107011
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.4,192.11,2.08,92,-3.5,0.096055,"2,4 DCP",163,3.17,7.89,50,6.26,1.301029996
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.6,192.11,2.08,92,-3.5,0.096055,"2,4 DCP",163,3.17,7.89,50,6.26,0.721246399
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,1,192.11,2.08,92,-3.5,0.096055,"2,4 DCP",163,3.17,7.89,50,6.26,0.48148606
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.019211,"2,4 DCP",163,3.17,7.89,50,6.26,1.22184875
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.0480275,"2,4 DCP",163,3.17,7.89,50,6.26,0.920818754
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.1440825,"2,4 DCP",163,3.17,7.89,50,6.26,0.619788758
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,6.26,1.301029996
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,3,0.431798276
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,5,0.537602002
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,7,0.568636236
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,9,0.619788758
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,50,11,0.744727495
Sewage sudge,Sludge,Pristine,Pristine,800,4,5,2.545274812,38,1.013763441,8.01,0.5,192.11,2.08,92,-3.5,0.96055,phenol,94.11,1.46,9.99,50,6.8,2.698970004
Sewage sudge,Sludge,Acid,Pristine,800,4,5,0.910157068,118,1.4868,16.2,0.5,192.11,2.08,92,-3.5,0.96055,phenol,94.11,1.46,9.99,50,6.8,1.721246399
Lemon leaves,Plant,Pristine,Pristine,850,2,5,0.141040462,154,1.38595,13.4,0.1,192.11,2.08,92,-3.5,0.25,SMX,253.279,0.89,1.6,0.5,6,0.589391457
herb residue,Plant,Pristine,Pristine,500,2,5,0.166978777,15.92,1.2851,10.6,0.5,192.11,2.08,92,-3.5,0.19211,Diclofenac,296.148,4.02,4.15,5.92296,6.6,2
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,Diclofenac,296.148,4.02,4.15,5.92296,6.6,1.397940009
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,4CP,128.56,2.39,9.41,5.92296,6.6,0.585026652
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,HBAI,122.123,1.36,7.61,5.92296,6.6,0.721246399
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,BPA,228.29,3.32,9.6,5.92296,6.6,1.301029996
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,SDZ,250.278,0.09,6.99,5.92296,6.6,1.408935393
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,HBAc,138.12,0.878,4.54,5.92296,6.6,1.602059991
herb residue,Plant,Pristine,Pristine,700,2,5,0.100391331,332.62,1.18425,15.1,0.5,192.11,2.08,92,-3.5,0.19211,CA,214.645,3.11,3.18,5.92296,6.6,2
black seed pomace,Plant,Pristine,Pristine,800,2,10,0.032704403,4.24,1.0834,16.15,1.5,192.11,2.08,92,-3.5,0.19211,Diclofenac,296.148,4.02,4.15,20,5.8,1.096910013
black seed pomace,Plant,Metal,Pristine,800,2,10,1.219387755,75.95,0.98255,17.2,1.5,192.11,2.08,92,-3.5,0.19211,Diclofenac,296.148,4.02,4.15,20,5.8,0.455931956
?offee grounds,Plant,Pristine,Pristine,800,2,10,0.576758893,235.3,0.8817,15.34,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,7,2.522878745
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,7,1.1837587
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.019211,aniline,93.13,0.9,4.64,20,7,2.200659451
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.038422,aniline,93.13,0.9,4.64,20,7,1.785156152
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.076844,aniline,93.13,0.9,4.64,20,7,1.15864053
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.096055,aniline,93.13,0.9,4.64,20,7,1.145086978
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.03,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,7,1.436518915
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.07,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,7,1.42945706
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.1,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,7,1.393618635
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,3.5,1.542118103
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,5.3,1.555955204
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,8.7,1.428291168
?offee grounds,Plant,Acid,Pristine,800,2,10,0.058237814,870.62,0.78085,13.48,0.05,192.11,2.08,92,-3.5,0.057633,aniline,93.13,0.9,4.64,20,11,1.408935393
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.19211,"2,4 DCP",163,3.17,7.89,100,7,3
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.019211,"2,4 DCP",163,3.17,7.89,100,7,1.677780705
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.096055,"2,4 DCP",163,3.17,7.89,100,7,1.107905397
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.96055,"2,4 DCP",163,3.17,7.89,100,7,1.045757491
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,1.9211,"2,4 DCP",163,3.17,7.89,100,7,1.091514981
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,3.8422,"2,4 DCP",163,3.17,7.89,100,7,1.096910013
poplar flour ,Plant,Pristine,Pristine,600,3,5,0.285522788,138.25,1.19,1.225,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.346787486
poplar flour ,Plant,Pristine,Pristine,800,3,5,0.277188329,270.88,1.34,13.3,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.337242168
poplar flour ,Plant,Pristine,Pristine,900,3,5,0.201743462,328.74,1.38,11.1,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.031517051
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.26760624
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.01,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,2.040958608
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.03,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.818156412
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.1,152.2,1.82,377,9.3,0.1522,Diclofenac,296.148,4.02,4.15,2.96148,3.5,1.57024772
